# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-11-20 12:26:12
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Hornsgatan 108 Gata;8780;Urban Traffic;18.04866;59.317223
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;3;115
#NOX as NO2;Nitrogen oxides;ug.m-3;3;114
#PM10;Particulate matter < 10 µm;ug.m-3;3;116
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;111
#
Start;Slut;NO2 (115);NOX as NO2 (114);PM10 (116);PM2.5 (111)
2015-01-01 00:00;2015-01-01 01:00;36.9;101.5;32.5;15.1
2015-01-01 01:00;2015-01-01 02:00;38.6;78.3;11.0;6.40
2015-01-01 02:00;2015-01-01 03:00;26.8;49.6;13.8;6.20
2015-01-01 03:00;2015-01-01 04:00;30.5;65.8;15.2;6.50
2015-01-01 04:00;2015-01-01 05:00;20.9;37.6;15.3;6.60
2015-01-01 05:00;2015-01-01 06:00;21.0;52.6;15.0;6.60
2015-01-01 06:00;2015-01-01 07:00;10.8;16.0;13.7;6.00
2015-01-01 07:00;2015-01-01 08:00;8.30;15.0;13.7;5.60
2015-01-01 08:00;2015-01-01 09:00;7.30;12.0;14.7;5.80
2015-01-01 09:00;2015-01-01 10:00;7.50;10.0;15.8;6.10
2015-01-01 10:00;2015-01-01 11:00;15.5;29.8;13.2;6.10
2015-01-01 11:00;2015-01-01 12:00;14.8;24.3;9.80;5.40
2015-01-01 12:00;2015-01-01 13:00;17.8;32.3;10.6;5.10
2015-01-01 13:00;2015-01-01 14:00;17.9;34.7;10.9;5.10
2015-01-01 14:00;2015-01-01 15:00;20.6;35.3;9.50;5.50
2015-01-01 15:00;2015-01-01 16:00;30.0;64.5;10.3;5.80
2015-01-01 16:00;2015-01-01 17:00;27.0;59.5;8.60;4.90
2015-01-01 17:00;2015-01-01 18:00;28.3;60.4;8.20;4.00
2015-01-01 18:00;2015-01-01 19:00;20.1;34.1;9.90;5.40
2015-01-01 19:00;2015-01-01 20:00;24.3;37.6;11.7;6.30
2015-01-01 20:00;2015-01-01 21:00;17.0;24.9;13.7;6.50
2015-01-01 21:00;2015-01-01 22:00;18.9;28.7;13.1;6.30
2015-01-01 22:00;2015-01-01 23:00;13.6;23.1;11.2;5.90
2015-01-01 23:00;2015-01-02 00:00;6.70;12.3;9.30;5.70
2015-01-02 00:00;2015-01-02 01:00;5.80;8.90;7.50;5.70
2015-01-02 01:00;2015-01-02 02:00;13.1;37.2;4.50;4.20
2015-01-02 02:00;2015-01-02 03:00;5.90;17.8;2.70;2.30
2015-01-02 03:00;2015-01-02 04:00;4.50;7.70;1.70;1.70
2015-01-02 04:00;2015-01-02 05:00;4.70;6.50;1.90;1.60
2015-01-02 05:00;2015-01-02 06:00;7.70;10.0;2.60;1.50
2015-01-02 06:00;2015-01-02 07:00;11.5;21.4;3.00;1.30
2015-01-02 07:00;2015-01-02 08:00;14.2;29.3;3.20;1.40
2015-01-02 08:00;2015-01-02 09:00;11.8;19.9;4.70;1.10
2015-01-02 09:00;2015-01-02 10:00;14.9;30.3;8.80;1.10
2015-01-02 10:00;2015-01-02 11:00;35.1;78.5;10.3;1.40
2015-01-02 11:00;2015-01-02 12:00;49.6;130.6;11.1;1.70
2015-01-02 12:00;2015-01-02 13:00;38.5;107.3;11.0;1.90
2015-01-02 13:00;2015-01-02 14:00;36.7;101.9;10.4;1.10
2015-01-02 14:00;2015-01-02 15:00;42.6;113.0;9.70;0.900
2015-01-02 15:00;2015-01-02 16:00;49.0;131.5;9.80;1.40
2015-01-02 16:00;2015-01-02 17:00;37.6;78.2;8.80;2.20
2015-01-02 17:00;2015-01-02 18:00;38.1;73.2;9.10;1.60
2015-01-02 18:00;2015-01-02 19:00;19.7;35.1;31.0;2.10
