# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-09-16 10:44:02
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Hornsgatan 108 Gata;8780;Urban Traffic;18.04866;59.317223
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#O3;Ozone;ug.m-3;3;537
#PM10;Particulate matter < 10 µm;ug.m-3;3;116
#
Start;Slut;O3 (537);PM10 (116)
2016-01-01 00:00;2016-01-01 01:00;56.0;35.5
2016-01-01 01:00;2016-01-01 02:00;54.5;14.2
2016-01-01 02:00;2016-01-01 03:00;59.3;12.3
2016-01-01 03:00;2016-01-01 04:00;57.2;12.5
2016-01-01 04:00;2016-01-01 05:00;56.0;12.2
2016-01-01 05:00;2016-01-01 06:00;57.5;11.7
2016-01-01 06:00;2016-01-01 07:00;58.0;13.1
2016-01-01 07:00;2016-01-01 08:00;58.0;13.3
2016-01-01 08:00;2016-01-01 09:00;60.1;12.4
2016-01-01 09:00;2016-01-01 10:00;61.0;10.5
2016-01-01 10:00;2016-01-01 11:00;61.6;9.70
2016-01-01 11:00;2016-01-01 12:00;59.6;10.8
2016-01-01 12:00;2016-01-01 13:00;60.1;11.9
2016-01-01 13:00;2016-01-01 14:00;60.3;10.7
2016-01-01 14:00;2016-01-01 15:00;60.2;13.6
2016-01-01 15:00;2016-01-01 16:00;61.2;11.4
2016-01-01 16:00;2016-01-01 17:00;63.4;10.5
2016-01-01 17:00;2016-01-01 18:00;62.4;14.1
2016-01-01 18:00;2016-01-01 19:00;61.7;14.8
2016-01-01 19:00;2016-01-01 20:00;62.6;13.8
2016-01-01 20:00;2016-01-01 21:00;63.1;14.1
2016-01-01 21:00;2016-01-01 22:00;63.1;10.8
2016-01-01 22:00;2016-01-01 23:00;61.6;10.0
2016-01-01 23:00;2016-01-02 00:00;58.5;9.40
2016-01-02 00:00;2016-01-02 01:00;59.1;7.00
2016-01-02 01:00;2016-01-02 02:00;61.9;10.9
2016-01-02 02:00;2016-01-02 03:00;62.4;16.4
2016-01-02 03:00;2016-01-02 04:00;62.1;11.3
2016-01-02 04:00;2016-01-02 05:00;62.3;7.20
2016-01-02 05:00;2016-01-02 06:00;61.8;7.30
2016-01-02 06:00;2016-01-02 07:00;59.4;10.4
2016-01-02 07:00;2016-01-02 08:00;62.6;7.20
2016-01-02 08:00;2016-01-02 09:00;61.1;6.10
2016-01-02 09:00;2016-01-02 10:00;59.1;10.5
2016-01-02 10:00;2016-01-02 11:00;50.9;14.0
2016-01-02 11:00;2016-01-02 12:00;41.6;18.9
2016-01-02 12:00;2016-01-02 13:00;42.3;11.1
2016-01-02 13:00;2016-01-02 14:00;46.2;11.2
2016-01-02 14:00;2016-01-02 15:00;49.9;11.7
2016-01-02 15:00;2016-01-02 16:00;50.8;10.7
2016-01-02 16:00;2016-01-02 17:00;47.6;13.8
2016-01-02 17:00;2016-01-02 18:00;48.9;12.0
2016-01-02 18:00;2016-01-02 19:00;46.2;9.60
2016-01-02 19:00;2016-01-02 20:00;49.7;9.50
2016-01-02 20:00;2016-01-02 21:00;47.1;11.1
2016-01-02 21:00;2016-01-02 22:00;49.5;13.2
2016-01-02 22:00;2016-01-02 23:00;49.4;12.3
2016-01-02 23:00;2016-01-03 00:00;44.4;10.1
2016-01-03 00:00;2016-01-03 01:00;50.2;8.00
2016-01-03 01:00;2016-01-03 02:00;40.9;9.20
2016-01-03 02:00;2016-01-03 03:00;52.8;8.00
2016-01-03 03:00;2016-01-03 04:00;53.0;8.70
2016-01-03 04:00;2016-01-03 05:00;54.2;9.40
2016-01-03 05:00;2016-01-03 06:00;55.5;7.30
2016-01-03 06:00;2016-01-03 07:00;49.1;9.00
2016-01-03 07:00;2016-01-03 08:00;46.0;8.20
2016-01-03 08:00;2016-01-03 09:00;47.0;8.60
2016-01-03 09:00;2016-01-03 10:00;50.1;10.2
2016-01-03 10:00;2016-01-03 11:00;46.3;13.6
2016-01-03 11:00;2016-01-03 12:00;35.3;30.0
2016-01-03 12:00;2016-01-03 13:00;36.8;47.3
2016-01-03 13:00;2016-01-03 14:00;26.3;44.2
2016-01-03 14:00;2016-01-03 15:00;30.5;41.0
2016-01-03 15:00;2016-01-03 16:00;27.6;26.5
2016-01-03 16:00;2016-01-03 17:00;32.6;12.7
2016-01-03 17:00;2016-01-03 18:00;32.4;21.4
2016-01-03 18:00;2016-01-03 19:00;35.2;27.3
2016-01-03 19:00;2016-01-03 20:00;35.5;40.0
2016-01-03 20:00;2016-01-03 21:00;37.4;34.2
2016-01-03 21:00;2016-01-03 22:00;44.9;43.1
2016-01-03 22:00;2016-01-03 23:00;43.0;41.1
2016-01-03 23:00;2016-01-04 00:00;41.1;46.0
2016-01-04 00:00;2016-01-04 01:00;45.5;37.6
2016-01-04 01:00;2016-01-04 02:00;44.1;37.6
2016-01-04 02:00;2016-01-04 03:00;45.6;36.1
2016-01-04 03:00;2016-01-04 04:00;45.2;23.8
2016-01-04 04:00;2016-01-04 05:00;45.2;18.0
2016-01-04 05:00;2016-01-04 06:00;37.0;67.8
2016-01-04 06:00;2016-01-04 07:00;20.6;70.5
2016-01-04 07:00;2016-01-04 08:00;11.2;70.3
2016-01-04 08:00;2016-01-04 09:00;13.9;56.2
2016-01-04 09:00;2016-01-04 10:00;12.5;43.5
2016-01-04 10:00;2016-01-04 11:00;9.70;42.9
2016-01-04 11:00;2016-01-04 12:00;10.4;13.6
2016-01-04 12:00;2016-01-04 13:00;7.10;13.7
2016-01-04 13:00;2016-01-04 14:00;7.80;8.20
2016-01-04 14:00;2016-01-04 15:00;5.30;12.1
2016-01-04 15:00;2016-01-04 16:00;1.80;15.8
2016-01-04 16:00;2016-01-04 17:00;3.70;9.10
2016-01-04 17:00;2016-01-04 18:00;17.4;3.10
2016-01-04 18:00;2016-01-04 19:00;21.8;4.70
2016-01-04 19:00;2016-01-04 20:00;15.6;5.10
2016-01-04 20:00;2016-01-04 21:00;31.0;1.30
2016-01-04 21:00;2016-01-04 22:00;18.0;7.20
2016-01-04 22:00;2016-01-04 23:00;26.6;5.60
2016-01-04 23:00;2016-01-05 00:00;33.3;3.90
