# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-09-16 10:44:06
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Torkel Knutssongatan;8781;Urban Background;18.057808;59.316006
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#O3;Ozone;ug.m-3;20;109
#PM10;Particulate matter < 10 µm;ug.m-3;20;107
#
Start;Slut;O3 (109);PM10 (107)
2016-01-01 00:00;2016-01-01 01:00;60.3;36.8
2016-01-01 01:00;2016-01-01 02:00;60.8;12.8
2016-01-01 02:00;2016-01-01 03:00;61.2;9.40
2016-01-01 03:00;2016-01-01 04:00;61.3;8.90
2016-01-01 04:00;2016-01-01 05:00;62.1;9.40
2016-01-01 05:00;2016-01-01 06:00;61.0;11.0
2016-01-01 06:00;2016-01-01 07:00;58.9;13.1
2016-01-01 07:00;2016-01-01 08:00;59.3;11.9
2016-01-01 08:00;2016-01-01 09:00;61.4;9.70
2016-01-01 09:00;2016-01-01 10:00;62.2;8.90
2016-01-01 10:00;2016-01-01 11:00;62.7;9.00
2016-01-01 11:00;2016-01-01 12:00;61.6;8.40
2016-01-01 12:00;2016-01-01 13:00;61.9;10.0
2016-01-01 13:00;2016-01-01 14:00;62.7;9.40
2016-01-01 14:00;2016-01-01 15:00;63.4;12.4
2016-01-01 15:00;2016-01-01 16:00;62.3;9.80
2016-01-01 16:00;2016-01-01 17:00;64.4;8.40
2016-01-01 17:00;2016-01-01 18:00;63.5;9.00
2016-01-01 18:00;2016-01-01 19:00;62.7;9.70
2016-01-01 19:00;2016-01-01 20:00;64.7;10.7
2016-01-01 20:00;2016-01-01 21:00;65.9;11.4
2016-01-01 21:00;2016-01-01 22:00;64.0;7.00
2016-01-01 22:00;2016-01-01 23:00;64.1;5.00
2016-01-01 23:00;2016-01-02 00:00;62.9;7.20
2016-01-02 00:00;2016-01-02 01:00;61.5;5.70
2016-01-02 01:00;2016-01-02 02:00;66.1;7.40
2016-01-02 02:00;2016-01-02 03:00;66.4;7.50
2016-01-02 03:00;2016-01-02 04:00;66.1;7.80
2016-01-02 04:00;2016-01-02 05:00;65.4;6.00
2016-01-02 05:00;2016-01-02 06:00;66.0;6.80
2016-01-02 06:00;2016-01-02 07:00;64.4;9.40
2016-01-02 07:00;2016-01-02 08:00;61.9;6.60
2016-01-02 08:00;2016-01-02 09:00;61.0;6.50
2016-01-02 09:00;2016-01-02 10:00;60.5;9.30
2016-01-02 10:00;2016-01-02 11:00;55.2;13.9
2016-01-02 11:00;2016-01-02 12:00;48.5;6.90
2016-01-02 12:00;2016-01-02 13:00;48.9;6.90
2016-01-02 13:00;2016-01-02 14:00;51.5;6.00
2016-01-02 14:00;2016-01-02 15:00;54.2;9.90
2016-01-02 15:00;2016-01-02 16:00;51.4;8.40
2016-01-02 16:00;2016-01-02 17:00;48.0;8.30
2016-01-02 17:00;2016-01-02 18:00;49.1;15.3
2016-01-02 18:00;2016-01-02 19:00;47.1;8.40
2016-01-02 19:00;2016-01-02 20:00;46.5;11.2
2016-01-02 20:00;2016-01-02 21:00;48.0;9.80
2016-01-02 21:00;2016-01-02 22:00;52.5;9.70
2016-01-02 22:00;2016-01-02 23:00;53.5;11.4
2016-01-02 23:00;2016-01-03 00:00;52.3;14.0
2016-01-03 00:00;2016-01-03 01:00;55.9;7.60
2016-01-03 01:00;2016-01-03 02:00;57.5;5.30
2016-01-03 02:00;2016-01-03 03:00;59.9;7.00
2016-01-03 03:00;2016-01-03 04:00;61.9;5.00
2016-01-03 04:00;2016-01-03 05:00;64.3;6.10
2016-01-03 05:00;2016-01-03 06:00;63.2;6.00
2016-01-03 06:00;2016-01-03 07:00;53.2;7.00
2016-01-03 07:00;2016-01-03 08:00;52.5;5.80
2016-01-03 08:00;2016-01-03 09:00;50.3;5.50
2016-01-03 09:00;2016-01-03 10:00;60.7;7.50
2016-01-03 10:00;2016-01-03 11:00;59.0;7.60
2016-01-03 11:00;2016-01-03 12:00;55.6;10.4
2016-01-03 12:00;2016-01-03 13:00;54.7;13.8
2016-01-03 13:00;2016-01-03 14:00;51.6;15.4
2016-01-03 14:00;2016-01-03 15:00;47.2;12.7
2016-01-03 15:00;2016-01-03 16:00;47.1;11.2
2016-01-03 16:00;2016-01-03 17:00;50.0;10.9
2016-01-03 17:00;2016-01-03 18:00;48.2;10.0
2016-01-03 18:00;2016-01-03 19:00;47.2;10.8
2016-01-03 19:00;2016-01-03 20:00;47.6;14.2
2016-01-03 20:00;2016-01-03 21:00;48.2;12.6
2016-01-03 21:00;2016-01-03 22:00;51.2;14.6
2016-01-03 22:00;2016-01-03 23:00;53.1;8.80
2016-01-03 23:00;2016-01-04 00:00;53.7;9.40
2016-01-04 00:00;2016-01-04 01:00;53.2;9.80
2016-01-04 01:00;2016-01-04 02:00;52.0;10.4
2016-01-04 02:00;2016-01-04 03:00;53.3;7.00
2016-01-04 03:00;2016-01-04 04:00;52.9;9.70
2016-01-04 04:00;2016-01-04 05:00;50.6;7.60
2016-01-04 05:00;2016-01-04 06:00;48.6;8.30
2016-01-04 06:00;2016-01-04 07:00;35.2;18.8
2016-01-04 07:00;2016-01-04 08:00;23.2;16.4
2016-01-04 08:00;2016-01-04 09:00;26.4;14.6
2016-01-04 09:00;2016-01-04 10:00;25.6;12.0
2016-01-04 10:00;2016-01-04 11:00;25.2;16.6
2016-01-04 11:00;2016-01-04 12:00;23.1;8.40
2016-01-04 12:00;2016-01-04 13:00;20.0;7.00
2016-01-04 13:00;2016-01-04 14:00;20.1;5.80
2016-01-04 14:00;2016-01-04 15:00;15.4;4.50
2016-01-04 15:00;2016-01-04 16:00;8.40;3.40
2016-01-04 16:00;2016-01-04 17:00;12.6;2.70
2016-01-04 17:00;2016-01-04 18:00;32.6;0.0
2016-01-04 18:00;2016-01-04 19:00;36.9;0.400
2016-01-04 19:00;2016-01-04 20:00;25.1;0.500
2016-01-04 20:00;2016-01-04 21:00;43.2;0.100
2016-01-04 21:00;2016-01-04 22:00;31.6;2.50
2016-01-04 22:00;2016-01-04 23:00;35.6;1.60
2016-01-04 23:00;2016-01-05 00:00;40.1;1.00
2016-01-05 00:00;2016-01-05 01:00;40.9;2.60
2016-01-05 01:00;2016-01-05 02:00;44.8;-0.100
2016-01-05 02:00;2016-01-05 03:00;40.3;0.600
2016-01-05 03:00;2016-01-05 04:00;40.1;1.50
2016-01-05 04:00;2016-01-05 05:00;40.5;0.0
2016-01-05 05:00;2016-01-05 06:00;37.4;1.40
2016-01-05 06:00;2016-01-05 07:00;33.8;2.20
2016-01-05 07:00;2016-01-05 08:00;25.2;4.20
2016-01-05 08:00;2016-01-05 09:00;28.4;6.20
2016-01-05 09:00;2016-01-05 10:00;37.7;5.60
2016-01-05 10:00;2016-01-05 11:00;38.5;6.50
2016-01-05 11:00;2016-01-05 12:00;40.0;5.70
2016-01-05 12:00;2016-01-05 13:00;37.5;5.10
2016-01-05 13:00;2016-01-05 14:00;35.8;5.60
2016-01-05 14:00;2016-01-05 15:00;37.8;9.10
2016-01-05 15:00;2016-01-05 16:00;34.0;2.70
2016-01-05 16:00;2016-01-05 17:00;32.9;3.70
2016-01-05 17:00;2016-01-05 18:00;34.0;5.50
2016-01-05 18:00;2016-01-05 19:00;30.1;5.10
2016-01-05 19:00;2016-01-05 20:00;25.4;6.60
2016-01-05 20:00;2016-01-05 21:00;23.3;5.40
2016-01-05 21:00;2016-01-05 22:00;21.8;7.50
2016-01-05 22:00;2016-01-05 23:00;22.5;7.70
2016-01-05 23:00;2016-01-06 00:00;19.6;7.60
2016-01-06 00:00;2016-01-06 01:00;30.4;5.50
2016-01-06 01:00;2016-01-06 02:00;31.1;6.20
2016-01-06 02:00;2016-01-06 03:00;30.9;5.30
2016-01-06 03:00;2016-01-06 04:00;33.0;6.40
2016-01-06 04:00;2016-01-06 05:00;31.8;5.60
2016-01-06 05:00;2016-01-06 06:00;30.5;4.80
2016-01-06 06:00;2016-01-06 07:00;27.7;5.50
2016-01-06 07:00;2016-01-06 08:00;19.6;5.70
2016-01-06 08:00;2016-01-06 09:00;13.6;5.80
2016-01-06 09:00;2016-01-06 10:00;19.4;7.50
2016-01-06 10:00;2016-01-06 11:00;20.7;8.80
2016-01-06 11:00;2016-01-06 12:00;26.5;3.00
2016-01-06 12:00;2016-01-06 13:00;31.2;5.80
2016-01-06 13:00;2016-01-06 14:00;27.4;7.90
2016-01-06 14:00;2016-01-06 15:00;27.7;5.40
2016-01-06 15:00;2016-01-06 16:00;25.3;8.40
2016-01-06 16:00;2016-01-06 17:00;17.6;10.7
2016-01-06 17:00;2016-01-06 18:00;10.4;10.8
2016-01-06 18:00;2016-01-06 19:00;9.00;10.7
2016-01-06 19:00;2016-01-06 20:00;7.40;11.4
2016-01-06 20:00;2016-01-06 21:00;7.90;12.4
2016-01-06 21:00;2016-01-06 22:00;11.7;11.7
2016-01-06 22:00;2016-01-06 23:00;11.4;12.1
2016-01-06 23:00;2016-01-07 00:00;14.1;10.2
2016-01-07 00:00;2016-01-07 01:00;18.2;7.70
2016-01-07 01:00;2016-01-07 02:00;18.3;8.00
2016-01-07 02:00;2016-01-07 03:00;21.4;8.60
2016-01-07 03:00;2016-01-07 04:00;22.3;8.80
2016-01-07 04:00;2016-01-07 05:00;28.2;6.10
2016-01-07 05:00;2016-01-07 06:00;26.0;7.80
2016-01-07 06:00;2016-01-07 07:00;14.8;8.10
2016-01-07 07:00;2016-01-07 08:00;6.70;9.50
2016-01-07 08:00;2016-01-07 09:00;3.30;8.10
2016-01-07 09:00;2016-01-07 10:00;4.50;11.1
2016-01-07 10:00;2016-01-07 11:00;5.30;12.1
2016-01-07 11:00;2016-01-07 12:00;6.70;9.70
2016-01-07 12:00;2016-01-07 13:00;8.30;6.90
2016-01-07 13:00;2016-01-07 14:00;7.80;10.1
2016-01-07 14:00;2016-01-07 15:00;7.80;10.8
2016-01-07 15:00;2016-01-07 16:00;6.50;9.50
2016-01-07 16:00;2016-01-07 17:00;8.70;10.8
2016-01-07 17:00;2016-01-07 18:00;6.80;9.60
2016-01-07 18:00;2016-01-07 19:00;8.30;9.90
2016-01-07 19:00;2016-01-07 20:00;10.0;10.2
2016-01-07 20:00;2016-01-07 21:00;16.5;10.6
2016-01-07 21:00;2016-01-07 22:00;26.8;8.50
2016-01-07 22:00;2016-01-07 23:00;29.5;5.70
2016-01-07 23:00;2016-01-08 00:00;28.8;4.50
2016-01-08 00:00;2016-01-08 01:00;33.4;5.80
2016-01-08 01:00;2016-01-08 02:00;34.7;7.50
2016-01-08 02:00;2016-01-08 03:00;33.7;5.60
2016-01-08 03:00;2016-01-08 04:00;36.8;3.70
2016-01-08 04:00;2016-01-08 05:00;41.7;5.40
2016-01-08 05:00;2016-01-08 06:00;43.8;5.40
2016-01-08 06:00;2016-01-08 07:00;41.6;7.30
2016-01-08 07:00;2016-01-08 08:00;31.1;13.0
2016-01-08 08:00;2016-01-08 09:00;31.6;8.30
2016-01-08 09:00;2016-01-08 10:00;32.8;9.60
2016-01-08 10:00;2016-01-08 11:00;42.6;13.3
2016-01-08 11:00;2016-01-08 12:00;44.4;12.2
2016-01-08 12:00;2016-01-08 13:00;41.7;11.1
2016-01-08 13:00;2016-01-08 14:00;36.7;17.5
2016-01-08 14:00;2016-01-08 15:00;28.9;8.50
2016-01-08 15:00;2016-01-08 16:00;28.9;7.10
2016-01-08 16:00;2016-01-08 17:00;35.6;8.50
2016-01-08 17:00;2016-01-08 18:00;31.6;9.70
2016-01-08 18:00;2016-01-08 19:00;28.8;7.50
2016-01-08 19:00;2016-01-08 20:00;29.7;10.9
2016-01-08 20:00;2016-01-08 21:00;42.5;12.8
2016-01-08 21:00;2016-01-08 22:00;43.0;7.70
2016-01-08 22:00;2016-01-08 23:00;29.4;9.80
2016-01-08 23:00;2016-01-09 00:00;32.6;8.40
2016-01-09 00:00;2016-01-09 01:00;37.2;7.80
2016-01-09 01:00;2016-01-09 02:00;37.3;7.30
2016-01-09 02:00;2016-01-09 03:00;42.5;6.40
2016-01-09 03:00;2016-01-09 04:00;43.5;6.40
2016-01-09 04:00;2016-01-09 05:00;50.3;6.40
2016-01-09 05:00;2016-01-09 06:00;44.5;7.10
2016-01-09 06:00;2016-01-09 07:00;35.5;9.40
2016-01-09 07:00;2016-01-09 08:00;36.9;5.40
2016-01-09 08:00;2016-01-09 09:00;36.4;7.10
