# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-09-09 07:53:04
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm St Eriksgatan 83;157992;Urban Traffic;18.037016;59.3405
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;3;4204
#NOX as NO2;Nitrogen oxides;ug.m-3;3;4205
#PM10;Particulate matter < 10 µm;ug.m-3;3;4206
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;4219
#
Start;Slut;NO2 (4204);NOX as NO2 (4205);PM10 (4206);PM2.5 (4219)
2019-01-01 00:00;2019-01-01 01:00;13.0;22.7;31.5;21.4
2019-01-01 01:00;2019-01-01 02:00;10.5;17.1;12.6;8.30
2019-01-01 02:00;2019-01-01 03:00;6.10;12.5;5.40;3.40
2019-01-01 03:00;2019-01-01 04:00;4.00;8.60;3.90;2.50
2019-01-01 04:00;2019-01-01 05:00;6.50;10.4;5.50;3.20
2019-01-01 05:00;2019-01-01 06:00;5.20;7.70;5.30;3.10
2019-01-01 06:00;2019-01-01 07:00;2.40;5.10;3.90;2.50
2019-01-01 07:00;2019-01-01 08:00;2.80;4.60;3.10;1.80
2019-01-01 08:00;2019-01-01 09:00;3.00;7.10;2.40;1.50
2019-01-01 09:00;2019-01-01 10:00;6.20;10.2;2.50;1.50
2019-01-01 10:00;2019-01-01 11:00;9.20;14.5;2.60;1.60
2019-01-01 11:00;2019-01-01 12:00;10.9;19.6;2.90;1.90
2019-01-01 12:00;2019-01-01 13:00;11.4;22.4;2.70;1.80
2019-01-01 13:00;2019-01-01 14:00;17.6;29.8;2.70;1.70
2019-01-01 14:00;2019-01-01 15:00;20.9;33.0;3.30;2.10
2019-01-01 15:00;2019-01-01 16:00;27.0;43.2;4.30;2.80
2019-01-01 16:00;2019-01-01 17:00;17.4;27.2;3.00;1.90
2019-01-01 17:00;2019-01-01 18:00;15.5;28.1;2.20;1.40
