# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-09-09 07:53:09
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Sveavägen 59 Gata;8779;Urban Traffic;18.058254;59.340828
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;3;183
#NOX as NO2;Nitrogen oxides;ug.m-3;3;184
#PM10;Particulate matter < 10 µm;ug.m-3;3;182
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;181
#
Start;Slut;NO2 (183);NOX as NO2 (184);PM10 (182);PM2.5 (181)
2019-01-01 00:00;2019-01-01 01:00;15.4;29.4;31.6;29.6
2019-01-01 01:00;2019-01-01 02:00;;;16.9;9.20
2019-01-01 02:00;2019-01-01 03:00;13.2;21.7;9.50;2.00
2019-01-01 03:00;2019-01-01 04:00;17.3;32.6;8.20;1.70
2019-01-01 04:00;2019-01-01 05:00;10.9;20.2;10.6;0.200
2019-01-01 05:00;2019-01-01 06:00;13.8;28.6;9.40;2.00
2019-01-01 06:00;2019-01-01 07:00;9.10;17.3;6.30;-0.300
2019-01-01 07:00;2019-01-01 08:00;2.40;4.00;7.60;-0.300
2019-01-01 08:00;2019-01-01 09:00;5.40;8.60;2.20;0.300
2019-01-01 09:00;2019-01-01 10:00;3.90;6.60;4.20;-0.100
2019-01-01 10:00;2019-01-01 11:00;6.50;14.8;3.80;-0.200
2019-01-01 11:00;2019-01-01 12:00;14.8;20.4;3.90;0.600
2019-01-01 12:00;2019-01-01 13:00;11.3;17.0;5.50;1.00
2019-01-01 13:00;2019-01-01 14:00;10.6;16.9;3.90;0.0
2019-01-01 14:00;2019-01-01 15:00;17.0;26.9;5.60;-0.900
2019-01-01 15:00;2019-01-01 16:00;19.0;31.8;4.90;0.700
2019-01-01 16:00;2019-01-01 17:00;14.9;21.9;3.70;-1.00
2019-01-01 17:00;2019-01-01 18:00;12.5;21.5;4.20;-1.10
2019-01-01 18:00;2019-01-01 19:00;13.8;20.8;2.50;-1.20
2019-01-01 19:00;2019-01-01 20:00;7.80;9.20;2.70;0.500
2019-01-01 20:00;2019-01-01 21:00;7.90;9.60;1.30;-1.20
2019-01-01 21:00;2019-01-01 22:00;2.80;3.30;4.90;-2.50
2019-01-01 22:00;2019-01-01 23:00;1.70;2.00;3.20;0.400
2019-01-01 23:00;2019-01-02 00:00;2.00;2.80;-0.400;
2019-01-02 00:00;2019-01-02 01:00;5.00;9.20;3.70;-0.400
2019-01-02 01:00;2019-01-02 02:00;;;7.20;
2019-01-02 02:00;2019-01-02 03:00;1.20;1.50;27.6;
2019-01-02 03:00;2019-01-02 04:00;1.20;1.70;28.1;-2.60
2019-01-02 04:00;2019-01-02 05:00;2.00;3.40;26.3;-1.30
2019-01-02 05:00;2019-01-02 06:00;1.90;3.40;10.4;-0.600
2019-01-02 06:00;2019-01-02 07:00;3.60;4.70;25.3;
2019-01-02 07:00;2019-01-02 08:00;7.40;10.2;10.9;-0.400
2019-01-02 08:00;2019-01-02 09:00;8.40;11.3;14.5;-0.800
2019-01-02 09:00;2019-01-02 10:00;8.30;10.6;8.50;-0.100
2019-01-02 10:00;2019-01-02 11:00;10.4;13.4;6.70;-1.10
2019-01-02 11:00;2019-01-02 12:00;13.1;16.4;8.50;-1.00
2019-01-02 12:00;2019-01-02 13:00;14.4;19.0;9.40;0.100
2019-01-02 13:00;2019-01-02 14:00;15.5;20.0;10.0;1.40
2019-01-02 14:00;2019-01-02 15:00;19.3;29.7;9.00;2.40
2019-01-02 15:00;2019-01-02 16:00;33.9;56.2;16.8;3.70
2019-01-02 16:00;2019-01-02 17:00;48.2;87.3;18.7;2.70
2019-01-02 17:00;2019-01-02 18:00;34.8;51.3;27.1;1.90
2019-01-02 18:00;2019-01-02 19:00;32.5;46.5;28.5;3.40
2019-01-02 19:00;2019-01-02 20:00;28.2;37.5;19.9;4.20
2019-01-02 20:00;2019-01-02 21:00;29.0;36.1;17.8;4.10
2019-01-02 21:00;2019-01-02 22:00;24.8;32.1;16.1;4.50
2019-01-02 22:00;2019-01-02 23:00;13.8;19.5;9.40;4.40
2019-01-02 23:00;2019-01-03 00:00;12.1;14.0;5.40;2.50
2019-01-03 00:00;2019-01-03 01:00;17.0;19.5;5.70;3.00
2019-01-03 01:00;2019-01-03 02:00;;;4.90;2.80
2019-01-03 02:00;2019-01-03 03:00;9.20;11.4;6.40;3.20
2019-01-03 03:00;2019-01-03 04:00;7.30;12.6;4.60;1.90
2019-01-03 04:00;2019-01-03 05:00;4.70;5.80;6.00;1.50
2019-01-03 05:00;2019-01-03 06:00;7.20;7.80;5.70;1.80
2019-01-03 06:00;2019-01-03 07:00;13.3;17.9;5.20;1.50
2019-01-03 07:00;2019-01-03 08:00;39.4;56.9;7.10;1.50
