# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2020-09-09 07:52:57
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Hornsgatan 108 Gata;8780;Urban Traffic;18.04866;59.317223
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#NO2;Nitrogen dioxide;ug.m-3;3;115
#NOX as NO2;Nitrogen oxides;ug.m-3;3;114
#PM10;Particulate matter < 10 µm;ug.m-3;3;116
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;3;111
#
Start;Slut;NO2 (115);NOX as NO2 (114);PM10 (116);PM2.5 (111)
2019-01-01 00:00;2019-01-01 01:00;18.2;33.7;31.2;20.5
2019-01-01 01:00;2019-01-01 02:00;27.1;46.6;14.2;8.10
2019-01-01 02:00;2019-01-01 03:00;10.4;21.5;6.50;3.80
2019-01-01 03:00;2019-01-01 04:00;9.50;23.4;4.90;3.00
2019-01-01 04:00;2019-01-01 05:00;20.7;33.0;6.70;3.60
2019-01-01 05:00;2019-01-01 06:00;12.0;21.7;6.60;3.60
2019-01-01 06:00;2019-01-01 07:00;9.30;15.1;5.00;2.90
2019-01-01 07:00;2019-01-01 08:00;6.90;12.5;3.50;2.10
2019-01-01 08:00;2019-01-01 09:00;6.10;11.2;2.80;1.70
2019-01-01 09:00;2019-01-01 10:00;4.60;11.3;2.80;1.70
2019-01-01 10:00;2019-01-01 11:00;12.0;24.0;2.70;1.70
2019-01-01 11:00;2019-01-01 12:00;19.3;38.9;2.60;1.70
2019-01-01 12:00;2019-01-01 13:00;8.90;21.2;2.90;1.90
2019-01-01 13:00;2019-01-01 14:00;18.1;28.2;2.60;1.70
2019-01-01 14:00;2019-01-01 15:00;16.8;32.1;2.80;1.80
2019-01-01 15:00;2019-01-01 16:00;17.2;35.0;2.90;1.80
2019-01-01 16:00;2019-01-01 17:00;7.50;26.2;2.60;1.60
2019-01-01 17:00;2019-01-01 18:00;20.1;37.1;1.90;1.20
2019-01-01 18:00;2019-01-01 19:00;4.40;11.4;2.80;1.90
2019-01-01 19:00;2019-01-01 20:00;9.90;25.4;2.00;1.30
2019-01-01 20:00;2019-01-01 21:00;6.60;11.6;2.40;1.60
2019-01-01 21:00;2019-01-01 22:00;;29.1;1.70;1.00
2019-01-01 22:00;2019-01-01 23:00;3.30;5.90;2.40;1.20
2019-01-01 23:00;2019-01-02 00:00;2.80;6.00;2.80;1.60
2019-01-02 00:00;2019-01-02 01:00;2.50;4.50;3.70;2.10
2019-01-02 01:00;2019-01-02 02:00;2.20;4.20;4.30;2.20
2019-01-02 02:00;2019-01-02 03:00;2.30;2.80;11.3;2.80
2019-01-02 03:00;2019-01-02 04:00;0.800;1.60;13.2;2.40
2019-01-02 04:00;2019-01-02 05:00;1.60;3.00;10.8;2.30
2019-01-02 05:00;2019-01-02 06:00;4.00;4.80;7.90;1.90
2019-01-02 06:00;2019-01-02 07:00;10.5;13.9;12.7;2.30
2019-01-02 07:00;2019-01-02 08:00;11.8;24.0;9.90;2.10
2019-01-02 08:00;2019-01-02 09:00;21.2;39.2;9.90;2.60
2019-01-02 09:00;2019-01-02 10:00;16.2;37.0;7.90;2.40
2019-01-02 10:00;2019-01-02 11:00;15.2;43.6;7.30;2.20
2019-01-02 11:00;2019-01-02 12:00;12.4;32.3;6.60;2.00
2019-01-02 12:00;2019-01-02 13:00;25.1;71.6;7.70;2.20
2019-01-02 13:00;2019-01-02 14:00;22.2;47.3;8.30;2.20
2019-01-02 14:00;2019-01-02 15:00;35.6;77.7;8.40;2.50
2019-01-02 15:00;2019-01-02 16:00;22.9;66.5;9.40;2.50
2019-01-02 16:00;2019-01-02 17:00;33.8;66.7;14.2;2.90
2019-01-02 17:00;2019-01-02 18:00;24.9;57.5;18.3;3.20
2019-01-02 18:00;2019-01-02 19:00;20.0;49.1;14.0;2.80
2019-01-02 19:00;2019-01-02 20:00;18.6;42.1;9.50;2.60
2019-01-02 20:00;2019-01-02 21:00;24.4;49.3;6.10;2.40
2019-01-02 21:00;2019-01-02 22:00;15.4;30.7;4.90;2.10
2019-01-02 22:00;2019-01-02 23:00;15.5;31.2;4.70;2.20
2019-01-02 23:00;2019-01-03 00:00;21.2;33.1;3.10;2.00
2019-01-03 00:00;2019-01-03 01:00;8.50;17.8;2.80;1.80
2019-01-03 01:00;2019-01-03 02:00;12.6;17.2;2.90;1.90
2019-01-03 02:00;2019-01-03 03:00;13.6;17.6;2.20;1.40
2019-01-03 03:00;2019-01-03 04:00;7.00;11.1;2.00;1.30
2019-01-03 04:00;2019-01-03 05:00;6.60;13.1;2.00;1.30
2019-01-03 05:00;2019-01-03 06:00;9.60;16.8;2.30;1.50
2019-01-03 06:00;2019-01-03 07:00;24.3;48.6;2.60;1.60
2019-01-03 07:00;2019-01-03 08:00;39.0;77.7;3.10;1.90
2019-01-03 08:00;2019-01-03 09:00;64.7;216.4;4.90;2.90
2019-01-03 09:00;2019-01-03 10:00;64.8;215.6;5.40;3.10
2019-01-03 10:00;2019-01-03 11:00;62.7;224.1;5.70;3.30
2019-01-03 11:00;2019-01-03 12:00;72.8;176.7;6.10;3.40
2019-01-03 12:00;2019-01-03 13:00;89.6;326.3;5.90;3.30
2019-01-03 13:00;2019-01-03 14:00;56.4;159.2;6.70;3.00
2019-01-03 14:00;2019-01-03 15:00;80.9;264.2;8.60;3.20
2019-01-03 15:00;2019-01-03 16:00;105.2;410.7;6.60;3.70
2019-01-03 16:00;2019-01-03 17:00;88.8;335.1;7.20;4.10
2019-01-03 17:00;2019-01-03 18:00;76.6;239.1;6.80;4.10
2019-01-03 18:00;2019-01-03 19:00;59.0;161.9;6.50;3.90
2019-01-03 19:00;2019-01-03 20:00;45.9;90.5;4.00;2.40
2019-01-03 20:00;2019-01-03 21:00;24.4;51.3;3.10;2.00
2019-01-03 21:00;2019-01-03 22:00;25.9;44.3;3.00;2.10
2019-01-03 22:00;2019-01-03 23:00;15.9;23.4;3.50;2.30
2019-01-03 23:00;2019-01-04 00:00;8.30;13.9;3.90;2.40
2019-01-04 00:00;2019-01-04 01:00;;;3.60;2.20
2019-01-04 01:00;2019-01-04 02:00;25.0;71.5;4.50;2.40
2019-01-04 02:00;2019-01-04 03:00;13.9;23.8;3.80;2.10
2019-01-04 03:00;2019-01-04 04:00;18.1;36.9;2.90;1.60
2019-01-04 04:00;2019-01-04 05:00;9.20;15.0;2.20;1.20
2019-01-04 05:00;2019-01-04 06:00;23.5;38.9;3.10;1.60
2019-01-04 06:00;2019-01-04 07:00;43.9;90.1;8.80;2.20
2019-01-04 07:00;2019-01-04 08:00;43.1;104.5;10.3;2.00
2019-01-04 08:00;2019-01-04 09:00;54.4;157.5;3.50;1.80
2019-01-04 09:00;2019-01-04 10:00;45.6;97.7;4.10;2.10
2019-01-04 10:00;2019-01-04 11:00;48.6;148.4;6.50;3.20
2019-01-04 11:00;2019-01-04 12:00;45.9;125.2;5.30;2.70
2019-01-04 12:00;2019-01-04 13:00;45.9;125.8;4.20;2.20
2019-01-04 13:00;2019-01-04 14:00;45.6;101.7;4.90;2.50
2019-01-04 14:00;2019-01-04 15:00;62.3;189.7;4.90;2.70
2019-01-04 15:00;2019-01-04 16:00;56.1;232.5;4.60;2.50
2019-01-04 16:00;2019-01-04 17:00;42.8;87.0;3.70;2.10
2019-01-04 17:00;2019-01-04 18:00;31.1;55.9;3.50;2.10
2019-01-04 18:00;2019-01-04 19:00;22.5;37.3;3.80;2.50
2019-01-04 19:00;2019-01-04 20:00;35.2;85.3;5.40;3.50
2019-01-04 20:00;2019-01-04 21:00;16.3;43.2;5.90;4.00
